Kabupaten/Kota;Garis Kemiskinan ;Jumlah Penduduk Miskin ;Persentase Penduduk Miskin 
BUTON;313831;14.41;13.99
MUNA;434750;31.82;13.78
KONAWE;425029;33.99;13.25
KOLAKA;477917;33.2;11.67
KONAWE SELATAN;354696;37.09;11.2
BOMBANA;423183;20.56;10.54
WAKATOBI;355748;14.93;14.36
KOLAKA UTARA;529192;22.07;13.51
BUTON UTARA;422483;9.18;14.09
KONAWE UTARA;407710;8.94;13.17
KOLAKA TIMUR;525091;20.33;13.71
KONAWE KEPULAUAN;415880;5.36;15.54
MUNA BARAT;428282;11.36;13.38
BUTON TENGAH;310721;13.52;14.4
BUTON SELATAN;300991;11.5;14.28
KENDARI;516809;18.2;4.23
BAU BAU;431717;13.25;7.4
